,subset,A_ref,A_metric,A_align,A_CR_pearson,A_label,B_ref,B_metric,B_align,B_CR_pearson,B_label,A_B_pearson,A_B_sign_pv,A_B_sign_level
13,both,intp,bertscore.f1,one_seq,0.6882929980244962,bertscore.f1 intp one_seq,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.7452053025094842,1.7338872559946594e-09,0.0
14,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,intp,comet-da,mwer,0.7066723834504169,comet-da intp mwer,0.7253988937890871,5.091704835535893e-12,0.0
15,both,intp,comet-da,mwer,0.7066723834504169,comet-da intp mwer,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.7253988937890871,5.091704835535893e-12,0.0
16,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,ref,bleu,one_seq,0.7095519042055043,bleu ref one_seq,0.689520262206893,2.195021941986397e-11,0.0
17,both,ref,bleu,one_seq,0.7095519042055043,bleu ref one_seq,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.689520262206893,2.195021941986397e-11,0.0
18,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,ref,chrf,one_seq,0.7226648324543509,chrf ref one_seq,0.6555644060794201,1.0889067425523535e-12,0.0
19,both,ref,chrf,one_seq,0.7226648324543509,chrf ref one_seq,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.6555644060794201,1.0889067425523535e-12,0.0
20,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,ref+intp,chrf,one_seq,0.7234598968042771,chrf ref+intp one_seq,0.6633925341681611,4.589661983800397e-13,0.0
21,both,ref+intp,chrf,one_seq,0.7234598968042771,chrf ref+intp one_seq,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.6633925341681611,4.589661983800397e-13,0.0
22,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,ref,chrf,sent,0.7313755210409066,chrf ref sent,0.7038015178528922,4.440892098500626e-16,0.0
23,both,ref,chrf,sent,0.7313755210409066,chrf ref sent,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,0.7038015178528922,4.440892098500626e-16,0.0
24,both,intp,bleu,mwer,0.5783898483824839,bleu intp mwer,ref+intp,bleu,one_seq,0.733119580654065,bleu ref+intp one_seq,0.7768614859257517,0.0,0.0
