,system,latency,common,annotator,doc,CRi,CR,bleu,chrf,comet,bertscore
330,FBK,high,False,16,34_kol_action_accessoires,1.717200011145833,1.8387096774193548,13.3078,33.9043,-0.6897,0.756406
331,FBK,high,False,16,polish,3.1313343097927167,3.184,26.6274,55.943,0.1066,0.842572
332,FBK,high,False,18,spanish,2.0,2.0,17.547,45.5677,-0.4651,0.792957
333,FBK,high,False,22,26_tabacco-shop,2.07888299443196,2.25,21.8914,52.0085,-0.0357,0.799807
334,FBK,high,False,22,30_appolonas,2.222843529654565,2.4,22.8438,49.9371,0.0774,0.844959
335,FBK,high,False,22,31_devil-chocolate,2.9611840197879493,2.571428571428572,31.9042,58.8008,0.0428,0.849434
336,FBK,high,False,22,romanian,2.705173090460557,2.730769230769231,24.1762,52.0693,-0.0247,0.813963
337,FBK,high,False,26,09_il-gabbiano,1.6779320272651852,1.681818181818182,6.4025,25.6535,-0.6233,0.68436
338,FBK,high,False,26,12_fictionalcine,1.0,1.0,0.3062,5.905,-1.1124,0.650858
339,FBK,high,False,26,17_tf-smart-team,3.4697044308485903,3.392857142857143,22.1495,50.7091,-0.0769,0.813962
340,FBK,high,False,26,23_pillowdream,3.360301435953818,3.066666666666667,6.8974,22.4346,-1.0469,0.727684
341,FBK,high,False,26,34_kol_action_accessoires,2.6105893521823758,2.588235294117647,13.3078,33.9043,-0.6897,0.756406
342,FBK,high,False,27,13_don-bosco-barcelona,3.623563020664336,3.5294117647058822,6.806,34.1117,-0.6934,0.760755
343,FBK,high,False,27,16_develop-most,3.675002676553273,3.608695652173913,16.005,41.1921,-0.3936,0.770968
344,FBK,high,False,27,35_f-e-time-travel-agency,3.291664530471408,3.380952380952381,13.105,39.4131,-0.623,0.754915
345,FBK,high,False,27,36_step-house,3.359091825973474,3.421052631578948,26.6175,52.8716,-0.0815,0.839437
346,FBK,high,False,32,04_g-t,2.2943918760191955,2.0384615384615383,23.9762,51.4521,0.0023,0.83797
347,FBK,high,False,32,06_masaze-petr-klic,1.9487013628033996,2.3703703703703702,15.1892,37.5413,-0.4576,0.797696
348,FBK,high,False,32,10_magic-travel,2.4858974193228174,2.7142857142857144,11.0128,33.0172,-0.8565,0.720005
349,FBK,high,False,32,37_caspowalk,2.3687628399624803,2.2264150943396226,21.5897,40.3437,-0.4791,0.752563
350,FBK,high,False,32,39_total-regal,2.5157950215909355,2.361111111111111,16.7993,42.9981,-0.3649,0.785546
351,FBK,high,False,33,33_logistic-servis,2.4105613142968902,2.25,9.6154,28.4288,-1.0463,0.722406
352,FBK,high,False,33,belgian,2.689947942140444,2.7532467532467533,23.1937,48.9485,-0.3986,0.812482
353,FBK,high,False,35,15_brnkni,2.345196015118581,2.208333333333333,6.5644,20.948,-0.8717,0.704232
354,FBK,high,False,35,19_be-beauty,2.6172801266283297,2.526315789473684,14.8519,28.5883,-0.988,0.725184
355,FBK,high,False,35,24_mole-g-p-technologies,2.6046905674959384,2.590909090909091,13.2081,41.9838,-0.594,0.753377
356,FBK,high,False,35,32_ck-remoa,2.7615595341373687,2.7,14.4284,40.6539,-0.4169,0.781639
357,FBK,high,False,35,34_kol_action_accessoires,2.9614923016693084,2.7777777777777777,13.3078,33.9043,-0.6897,0.756406
358,FBK,high,False,36,13_don-bosco-barcelona,2.104348393020798,2.176470588235294,6.806,34.1117,-0.6934,0.760755
359,FBK,high,False,36,16_develop-most,2.510376779473493,2.555555555555556,16.005,41.1921,-0.3936,0.770968
360,FBK,high,False,36,35_f-e-time-travel-agency,2.1805221722625987,2.185185185185185,13.105,39.4131,-0.623,0.754915
361,FBK,high,False,36,36_step-house,2.513178977839824,2.772727272727273,26.6175,52.8716,-0.0815,0.839437
362,FBK,high,False,39,18_tf-magic-world,2.9848550076343723,2.9444444444444446,19.4525,47.2462,-0.2354,0.780725
363,FBK,high,False,39,22_new-design-world,2.648103861702087,2.75,18.6144,40.0341,-0.6229,0.758879
364,FBK,high,False,39,25_folkstyle,2.846764263857473,2.8461538461538463,25.2269,52.7773,-0.0255,0.822294
365,FBK,high,False,39,29_salon-n-g,2.461589016470056,2.6666666666666665,18.5638,42.6505,-0.7236,0.750105
366,FBK,high,False,39,38_seta,2.286370526362473,2.333333333333333,12.6769,33.7312,-0.6324,0.740803
367,FBK,high,False,40,dutch,3.1013333803298866,3.2222222222222223,27.8971,56.541,0.0695,0.825738
368,FBK,high,False,41,04_g-t,2.56614756117002,2.555555555555556,23.9762,51.4521,0.0023,0.83797
369,FBK,high,False,41,06_masaze-petr-klic,1.9916755692243373,2.25,15.1892,37.5413,-0.4576,0.797696
370,FBK,high,False,41,10_magic-travel,2.197767228402872,2.076923076923077,11.0128,33.0172,-0.8565,0.720005
371,FBK,high,False,41,37_caspowalk,2.1311836824447044,2.0476190476190474,21.5897,40.3437,-0.4791,0.752563
372,FBK,high,False,41,39_total-regal,2.476008817664005,2.5,16.7993,42.9981,-0.3649,0.785546
373,FBK,high,False,42,33_logistic-servis,1.9765276736754904,1.8888888888888888,9.6154,28.4288,-1.0463,0.722406
374,FBK,high,False,42,belgian,2.508517838606677,2.565217391304348,23.1937,48.9485,-0.3986,0.812482
375,FBK,high,False,44,07_bucherinsel-west,1.6823608878670189,1.625,18.325,42.1269,-0.5649,0.785281
376,FBK,high,False,44,15_brnkni,1.3905862535581073,1.5714285714285714,6.5644,20.948,-0.8717,0.704232
377,FBK,high,False,44,19_be-beauty,1.975299936132703,2.2,14.8519,28.5883,-0.988,0.725184
378,FBK,high,False,44,24_mole-g-p-technologies,2.211668252440128,2.0,13.2081,41.9838,-0.594,0.753377
379,FBK,high,False,44,32_ck-remoa,2.4498126029265155,2.4545454545454546,14.4284,40.6539,-0.4169,0.781639
380,FBK,high,False,45,05_i-dodge,1.1647527494867047,1.1666666666666667,5.3943,23.6283,-1.1556,0.705559
381,FBK,high,False,45,20_mela-e-piu,1.0632224606642655,1.05,1.9664,20.3323,-1.2471,0.676428
382,FBK,high,False,45,21_hat-cap,1.260536926709681,1.2272727272727273,13.2855,34.1361,-0.7154,0.736969
383,FBK,high,False,45,polish,2.2036239322146245,1.80625,26.6274,55.943,0.1066,0.842572
384,FBK,high,False,46,austrian,2.8006582502911592,2.765765765765766,27.0159,54.4126,0.1058,0.83424
385,FBK,high,False,49,03_botel-proti-proudu,2.203713454767051,2.037037037037037,6.4845,32.5994,-0.6203,0.746748
386,FBK,high,False,49,08_jizeran,3.2467899240286946,2.761904761904762,25.319,51.1085,0.1625,0.834088
387,FBK,high,False,49,11_trefa,2.636689355983082,2.555555555555556,14.356,49.5926,-0.2238,0.81338
388,FBK,high,False,49,14_llibres-i-revistes-edb,2.462823627872157,2.210526315789474,1.8029,17.0413,-0.8325,0.704246
389,FBK,high,False,49,27_f-e-international-tour,2.790189629483246,2.8260869565217392,12.6761,45.7397,0.014,0.81658
390,FBK,high,False,49,28_samanka,3.6916620424509,3.4761904761904763,18.5551,48.9132,-0.2396,0.791673
391,FBK,high,True,3,ted_39331,3.7000233822002095,3.688311688311688,37.5166,62.8714,0.4755,0.883046
392,FBK,high,True,4,ted_45973,3.760414643273556,3.723756906077348,19.1486,52.1314,0.1942,0.824643
393,FBK,high,True,4,ted_50853,3.900701647428529,3.848314606741573,16.605,52.637,0.3832,0.836522
394,FBK,high,True,7,ted_55061,3.724704363244733,3.7063953488372094,27.64,52.1182,0.1051,0.841427
395,FBK,high,True,8,ted_63920,3.370193737096205,3.103960396039604,18.2388,49.5563,0.125,0.820734
396,FBK,high,True,11,ted_51101,4.0,4.0,25.6501,57.8281,0.3956,0.857139
397,FBK,high,True,19,ted_46528,3.687224158851416,3.6171875,18.7719,52.3086,0.2762,0.838985
398,FBK,high,True,19,ted_57418,3.901619307626528,3.849056603773585,23.7026,55.2871,0.3234,0.851526
399,FBK,high,True,20,ted_51101,3.2169025420731137,3.28125,25.6501,57.8281,0.3956,0.857139
400,FBK,high,True,22,ted_37498,3.357608609727728,3.191489361702128,19.197,49.2327,0.0044,0.808677
401,FBK,high,True,23,ted_50853,3.794399681498474,3.761904761904762,16.605,52.637,0.3832,0.836522
402,FBK,high,True,23,ted_54706,3.1256362912120363,3.1323529411764706,14.3949,46.5596,-0.0221,0.80292
403,FBK,high,True,26,ted_42604,3.844895568661373,3.745762711864407,27.6965,59.6516,0.3697,0.862742
404,FBK,high,True,27,ted_63920,3.4358657796889167,3.444,18.2388,49.5563,0.125,0.820734
405,FBK,high,True,29,ted_46528,3.6363953541623366,3.54320987654321,18.7719,52.3086,0.2762,0.838985
406,FBK,high,True,29,ted_57418,3.696107431054188,3.735294117647059,23.7026,55.2871,0.3234,0.851526
407,FBK,high,True,32,ted_55061,3.3167841894361296,2.9705882352941178,27.64,52.1182,0.1051,0.841427
408,FBK,high,True,35,ted_49440,3.2848532079891126,3.25748502994012,26.0427,57.1731,0.3804,0.854242
409,FBK,high,True,36,ted_63920,3.559961960024557,3.5157232704402515,18.2388,49.5563,0.125,0.820734
410,FBK,high,True,38,ted_46528,2.8736032694864733,2.8424242424242423,18.7719,52.3086,0.2762,0.838985
411,FBK,high,True,38,ted_57418,3.485487361425544,3.4444444444444446,23.7026,55.2871,0.3234,0.851526
412,FBK,high,True,39,ted_51101,3.4504228475473058,3.4375,25.6501,57.8281,0.3956,0.857139
413,FBK,high,True,40,ted_45614,2.135349941426613,2.3846153846153846,18.1834,52.8968,0.2919,0.822464
414,FBK,high,True,41,ted_55061,2.910555570550096,2.9236641221374047,27.64,52.1182,0.1051,0.841427
415,FBK,high,True,43,ted_45973,3.422421604563232,3.423076923076923,19.1486,52.1314,0.1942,0.824643
416,FBK,high,True,43,ted_62628,3.635092836124059,3.544117647058824,15.5261,49.1184,0.2686,0.815091
417,FBK,high,True,44,ted_49440,3.579881355283788,3.333333333333333,26.0427,57.1731,0.3804,0.854242
418,FBK,high,True,46,ted_60872,3.3491781377946914,3.25,15.7107,51.1689,0.1723,0.81859
419,FBK,high,True,48,ted_50853,3.689445902965385,3.535211267605634,16.605,52.637,0.3832,0.836522
420,FBK,high,True,48,ted_54706,3.06173146734196,3.0136054421768708,14.3949,46.5596,-0.0221,0.80292
421,FBK,high,True,49,ted_52268,3.786875962148137,3.77037037037037,34.8559,61.7816,0.5215,0.883893
422,FBK,low,False,3,04_g-t,1.7812542779788931,1.9545454545454544,11.1436,39.6322,-0.5121,0.760084
423,FBK,low,False,3,13_don-bosco-barcelona,1.249438964963226,1.5454545454545454,5.3661,23.1968,-0.9772,0.711844
424,FBK,low,False,3,18_tf-magic-world,1.4005923313030708,1.6470588235294117,3.3113,26.9564,-0.9739,0.701298
425,FBK,low,False,3,30_appolonas,1.254270572168067,1.5,6.1671,30.1811,-1.0874,0.713955
426,FBK,low,False,3,36_step-house,1.060548567356432,1.2857142857142858,13.815,38.1075,-0.45,0.788755
427,FBK,low,False,3,37_caspowalk,1.2948163503313628,1.3333333333333333,8.0477,29.4384,-0.7158,0.723689
428,FBK,low,False,8,12_fictionalcine,1.0,1.0,0.3187,6.2766,-1.0849,0.653518
429,FBK,low,False,8,18_tf-magic-world,1.3167152403143283,1.5333333333333334,3.3113,26.9564,-0.9739,0.701298
430,FBK,low,False,8,25_folkstyle,1.7162759621197952,1.4666666666666666,7.588,28.664,-0.9686,0.730095
431,FBK,low,False,8,29_salon-n-g,1.1304528692654086,1.2666666666666666,9.1244,25.7806,-1.3053,0.703316
432,FBK,low,False,8,34_kol_action_accessoires,1.4544373427879762,1.4,1.5442,20.872,-1.0732,0.715231
433,FBK,low,False,13,austrian,2.1517038182759065,2.1379310344827585,9.1897,28.0992,-0.7088,0.757673
434,FBK,low,False,16,05_i-dodge,1.6621024264207298,1.4090909090909092,5.0144,18.5509,-1.2646,0.690418
435,FBK,low,False,16,10_magic-travel,1.38329461913297,1.1111111111111112,5.4427,18.9667,-1.0503,0.676665
436,FBK,low,False,16,18_tf-magic-world,1.0711417662850256,1.643835616438356,3.3113,26.9564,-0.9739,0.701298
437,FBK,low,False,16,25_folkstyle,1.2623252785118906,1.3333333333333333,7.588,28.664,-0.9686,0.730095
438,FBK,low,False,16,32_ck-remoa,1.5917557992451588,1.8214285714285716,6.3135,29.5332,-0.9557,0.72168
439,FBK,low,False,19,15_brnkni,1.0670430835544085,1.2,2.7106,13.2568,-1.1506,0.679733
440,FBK,low,False,19,19_be-beauty,1.256421706872187,1.6,4.7879,13.9412,-1.3979,0.702494
441,FBK,low,False,19,24_mole-g-p-technologies,1.7856679786964873,1.7857142857142858,2.1895,20.6334,-1.0349,0.711393
442,FBK,low,False,19,32_ck-remoa,2.394295014366093,2.45,6.3135,29.5332,-0.9557,0.72168
443,FBK,low,False,19,34_kol_action_accessoires,2.3719849281520045,2.4444444444444446,1.5442,20.872,-1.0732,0.715231
444,FBK,low,False,23,05_i-dodge,1.0543050953823527,1.0555555555555556,5.0144,18.5509,-1.2646,0.690418
445,FBK,low,False,23,18_tf-magic-world,1.1470424551036,1.3076923076923077,3.3113,26.9564,-0.9739,0.701298
446,FBK,low,False,23,20_mela-e-piu,1.4768763727107157,1.5,0.839,14.5651,-1.5212,0.650126
447,FBK,low,False,23,21_hat-cap,1.3656595378196752,1.2222222222222223,4.2813,27.3708,-0.7743,0.721119
448,FBK,low,False,23,25_folkstyle,1.1822074287251076,1.2222222222222223,7.588,28.664,-0.9686,0.730095
449,FBK,low,False,27,03_botel-proti-proudu,2.948705527292473,2.952380952380953,4.5083,27.577,-0.7687,0.730688
450,FBK,low,False,27,08_jizeran,3.637041376991704,3.4444444444444446,6.9169,27.4425,-0.8608,0.739915
451,FBK,low,False,27,11_trefa,3.403753524195968,3.28,9.0287,37.2374,-0.8039,0.760163
452,FBK,low,False,27,14_llibres-i-revistes-edb,3.272500886937822,3.421052631578948,4.8291,16.9249,-0.837,0.701778
453,FBK,low,False,27,27_f-e-international-tour,3.419251775280709,3.2142857142857144,7.7943,25.913,-0.6549,0.74863
454,FBK,low,False,27,28_samanka,2.990460455772742,3.230769230769231,6.3012,28.4105,-0.8082,0.734809
455,FBK,low,False,29,09_il-gabbiano,1.5816662995793305,1.1666666666666667,2.7137,21.0757,-0.7042,0.68026
456,FBK,low,False,29,12_fictionalcine,1.0,1.0,0.3187,6.2766,-1.0849,0.653518
457,FBK,low,False,29,17_tf-smart-team,1.0719629867054117,1.125,11.3314,24.2898,-1.3571,0.699109
458,FBK,low,False,29,23_pillowdream,1.1613181668547623,1.1111111111111112,3.5,14.7756,-1.2786,0.686778
459,FBK,low,False,29,34_kol_action_accessoires,2.4257080343382897,2.4285714285714284,1.5442,20.872,-1.0732,0.715231
460,FBK,low,False,33,18_tf-magic-world,1.307846231126995,1.6,3.3113,26.9564,-0.9739,0.701298
461,FBK,low,False,33,22_new-design-world,2.1810407147041877,2.0526315789473686,10.1945,30.0689,-1.0982,0.708736
462,FBK,low,False,33,25_folkstyle,1.868077859572884,1.625,7.588,28.664,-0.9686,0.730095
463,FBK,low,False,33,29_salon-n-g,1.549023860221603,1.5625,9.1244,25.7806,-1.3053,0.703316
464,FBK,low,False,33,38_seta,1.524934846832044,1.75,7.8868,20.6681,-1.1101,0.710332
465,FBK,low,False,35,04_g-t,2.7708850813293058,2.6818181818181817,11.1436,39.6322,-0.5121,0.760084
466,FBK,low,False,35,06_masaze-petr-klic,2.6862018892648445,2.6785714285714284,8.1576,28.1061,-0.9207,0.717981
467,FBK,low,False,35,10_magic-travel,2.3454053576699643,2.357142857142857,5.4427,18.9667,-1.0503,0.676665
468,FBK,low,False,35,37_caspowalk,2.5635740036143115,2.576923076923077,8.0477,29.4384,-0.7158,0.723689
469,FBK,low,False,35,39_total-regal,2.6961575319665347,2.7142857142857144,12.0342,33.7527,-0.7562,0.749072
470,FBK,low,False,36,33_logistic-servis,1.3527408061565631,1.3333333333333333,6.7147,20.1741,-1.3282,0.685814
471,FBK,low,False,36,belgian,1.3552711799204784,1.4191176470588236,8.6964,27.0174,-1.2308,0.722393
472,FBK,low,False,38,07_bucherinsel-west,2.3570807431606786,2.142857142857143,8.542,28.7466,-0.756,0.733051
473,FBK,low,False,38,15_brnkni,1.0571960948828123,1.1,2.7106,13.2568,-1.1506,0.679733
474,FBK,low,False,38,19_be-beauty,1.3203097887290491,1.24,4.7879,13.9412,-1.3979,0.702494
475,FBK,low,False,38,24_mole-g-p-technologies,1.1237478620732004,1.1666666666666667,2.1895,20.6334,-1.0349,0.711393
476,FBK,low,False,38,32_ck-remoa,2.191451469304301,2.1875,6.3135,29.5332,-0.9557,0.72168
477,FBK,low,False,39,05_i-dodge,1.8699372368418583,1.8461538461538465,5.0144,18.5509,-1.2646,0.690418
478,FBK,low,False,39,20_mela-e-piu,1.234445907692483,1.181818181818182,0.839,14.5651,-1.5212,0.650126
479,FBK,low,False,39,21_hat-cap,2.444070622907551,2.3846153846153846,4.2813,27.3708,-0.7743,0.721119
480,FBK,low,False,39,polish,1.9248054779421289,1.9281767955801103,9.6623,28.562,-0.9997,0.742256
481,FBK,low,False,40,austrian,1.0631584847974682,1.2857142857142858,9.1897,28.0992,-0.7088,0.757673
482,FBK,low,False,41,26_tabacco-shop,1.96625305415746,2.0,13.4051,39.0754,-0.694,0.752943
483,FBK,low,False,41,30_appolonas,1.0806259122832265,1.1333333333333333,6.1671,30.1811,-1.0874,0.713955
484,FBK,low,False,41,31_devil-chocolate,1.7567142913184646,1.9545454545454544,12.0518,33.5722,-0.5681,0.785376
485,FBK,low,False,41,romanian,1.6490277205726338,1.641025641025641,6.2408,27.9356,-0.9051,0.731448
486,FBK,low,False,43,03_botel-proti-proudu,1.607219854980286,1.7142857142857142,4.5083,27.577,-0.7687,0.730688
487,FBK,low,False,43,08_jizeran,1.8331716574909336,1.7777777777777777,6.9169,27.4425,-0.8608,0.739915
488,FBK,low,False,43,11_trefa,1.666301263179422,1.5833333333333333,9.0287,37.2374,-0.8039,0.760163
489,FBK,low,False,43,14_llibres-i-revistes-edb,1.2363334904926997,1.5454545454545454,4.8291,16.9249,-0.837,0.701778
490,FBK,low,False,43,27_f-e-international-tour,1.829221820364396,1.7692307692307692,7.7943,25.913,-0.6549,0.74863
491,FBK,low,False,43,28_samanka,2.276594559591832,2.142857142857143,6.3012,28.4105,-0.8082,0.734809
492,FBK,low,False,45,09_il-gabbiano,1.134846465866751,1.32,2.7137,21.0757,-0.7042,0.68026
493,FBK,low,False,45,12_fictionalcine,1.0,1.0,0.3187,6.2766,-1.0849,0.653518
494,FBK,low,False,45,17_tf-smart-team,1.0448137044401398,1.0833333333333333,11.3314,24.2898,-1.3571,0.699109
495,FBK,low,False,45,23_pillowdream,1.0,1.0,3.5,14.7756,-1.2786,0.686778
496,FBK,low,False,45,34_kol_action_accessoires,1.2760027418820552,1.3076923076923077,1.5442,20.872,-1.0732,0.715231
497,FBK,low,False,46,13_don-bosco-barcelona,1.6445925029507027,1.7272727272727273,5.3661,23.1968,-0.9772,0.711844
498,FBK,low,False,46,16_develop-most,1.4928501105155578,1.5714285714285714,7.4664,28.9991,-0.8097,0.728312
499,FBK,low,False,46,35_f-e-time-travel-agency,1.0825286280059152,1.1875,3.4085,20.8528,-1.2856,0.670373
500,FBK,low,False,46,36_step-house,1.429844565487019,1.7692307692307692,13.815,38.1075,-0.45,0.788755
501,FBK,low,False,49,18_tf-magic-world,2.06426018247936,1.8461538461538465,3.3113,26.9564,-0.9739,0.701298
502,FBK,low,False,49,22_new-design-world,2.0169357552900373,2.0294117647058822,10.1945,30.0689,-1.0982,0.708736
503,FBK,low,False,49,25_folkstyle,1.8627363822480625,1.793103448275862,7.588,28.664,-0.9686,0.730095
504,FBK,low,False,49,29_salon-n-g,2.3214706273744574,2.0,9.1244,25.7806,-1.3053,0.703316
505,FBK,low,False,49,38_seta,1.8381967606847025,2.0,7.8868,20.6681,-1.1101,0.710332
506,FBK,low,True,3,ted_62628,2.009450268240953,2.1731843575419,6.4706,25.4017,-0.7108,0.755577
507,FBK,low,True,4,ted_57418,3.13423801983461,2.9946236559139785,12.021,35.0403,-0.4886,0.79473
508,FBK,low,True,4,ted_62628,3.142538431086849,3.035555555555556,6.4706,25.4017,-0.7108,0.755577
509,FBK,low,True,7,ted_45973,3.1701277858970114,3.072072072072072,7.8948,28.7555,-0.6812,0.757001
510,FBK,low,True,7,ted_62628,2.4391058620338653,2.2282229965156795,6.4706,25.4017,-0.7108,0.755577
511,FBK,low,True,8,ted_51101,2.2233938587682,2.236842105263158,10.2594,33.1098,-0.5257,0.783208
512,FBK,low,True,13,ted_60872,2.171420973866047,1.961111111111111,7.3944,27.1362,-0.7216,0.75799
513,FBK,low,True,16,ted_51101,1.6536363817067232,1.3810408921933086,10.2594,33.1098,-0.5257,0.783208
514,FBK,low,True,19,ted_49440,1.8377496407352043,2.058139534883721,13.7232,32.0693,-0.5941,0.773013
515,FBK,low,True,20,ted_63920,2.0687225232943915,2.088607594936709,6.9113,23.2873,-0.9348,0.740388
516,FBK,low,True,22,ted_46528,1.8376081318733448,2.0530973451327434,9.0826,31.169,-0.7094,0.766106
517,FBK,low,True,22,ted_57418,1.953466640002028,2.033333333333333,12.021,35.0403,-0.4886,0.79473
518,FBK,low,True,23,ted_51101,1.868345778179593,1.7180851063829787,10.2594,33.1098,-0.5257,0.783208
519,FBK,low,True,26,ted_50853,2.347708884640908,2.357894736842105,6.8383,26.2731,-0.7349,0.754524
520,FBK,low,True,26,ted_54706,1.965098422304821,2.1456953642384105,6.0338,29.9476,-0.8002,0.746487
521,FBK,low,True,27,ted_52268,3.2746422826875965,3.278688524590164,15.7565,36.0544,-0.3639,0.808927
522,FBK,low,True,29,ted_42604,2.1151586409425573,2.075268817204301,13.8755,34.7806,-0.6183,0.783799
523,FBK,low,True,32,ted_46528,1.9840570084757152,2.152073732718894,9.0826,31.169,-0.7094,0.766106
524,FBK,low,True,32,ted_57418,2.3412376083460864,2.3280632411067192,12.021,35.0403,-0.4886,0.79473
525,FBK,low,True,33,ted_51101,2.314770728859637,2.315068493150685,10.2594,33.1098,-0.5257,0.783208
526,FBK,low,True,35,ted_55061,2.9333751128333976,2.896153846153846,12.3485,30.1534,-0.7088,0.778596
527,FBK,low,True,38,ted_49440,1.473970731480152,1.40625,13.7232,32.0693,-0.5941,0.773013
528,FBK,low,True,40,ted_60872,1.223434398632984,1.2727272727272727,7.3944,27.1362,-0.7216,0.75799
529,FBK,low,True,41,ted_37498,1.8014963596747025,1.9090909090909087,10.3784,29.4354,-0.6741,0.764016
530,FBK,low,True,42,ted_50853,2.1885391014250613,2.2171052631578947,6.8383,26.2731,-0.7349,0.754524
531,FBK,low,True,42,ted_54706,2.0087287174185025,1.98,6.0338,29.9476,-0.8002,0.746487
532,FBK,low,True,43,ted_52268,2.3899213202770886,2.328358208955224,15.7565,36.0544,-0.3639,0.808927
533,FBK,low,True,44,ted_39331,1.9304212110457044,2.046153846153846,15.3505,34.3314,-0.4016,0.800312
534,FBK,low,True,44,ted_56901,2.052174015552225,2.0454545454545454,6.8999,27.6515,-0.858,0.752184
535,FBK,low,True,45,ted_42604,1.82499396915425,1.8108108108108107,13.8755,34.7806,-0.6183,0.783799
536,FBK,low,True,46,ted_63920,1.7862414884042646,1.7679324894514767,6.9113,23.2873,-0.9348,0.740388
537,FBK,low,True,48,ted_46528,3.040749058126772,2.976878612716763,9.0826,31.169,-0.7094,0.766106
538,FBK,low,True,48,ted_57418,2.4030630068110543,2.6343612334801763,12.021,35.0403,-0.4886,0.79473
539,FBK,low,True,49,ted_51101,2.081786258236235,1.9635036496350364,10.2594,33.1098,-0.5257,0.783208
540,FBK,medium,False,3,03_botel-proti-proudu,1.4652404865645203,1.6,8.7144,32.2786,-0.6633,0.739943
541,FBK,medium,False,3,06_masaze-petr-klic,1.6757559950386964,2.176470588235294,9.559,34.0131,-0.4613,0.784533
542,FBK,medium,False,3,08_jizeran,2.5738243196435238,2.6153846153846154,22.7561,46.4881,0.0124,0.819869
543,FBK,medium,False,3,14_llibres-i-revistes-edb,1.0600236425526106,1.4166666666666667,4.6489,18.1225,-0.7123,0.709127
544,FBK,medium,False,3,16_develop-most,1.8728583284320492,1.75,12.9199,37.1813,-0.3566,0.766296
545,FBK,medium,False,3,33_logistic-servis,1.918574522391523,1.6,10.7501,29.8747,-1.0571,0.725558
546,FBK,medium,False,4,07_bucherinsel-west,2.401440783711114,2.1739130434782608,11.0364,33.2915,-0.6256,0.772764
547,FBK,medium,False,4,09_il-gabbiano,2.929805268315611,2.523809523809524,3.4237,23.2122,-0.6437,0.682631
548,FBK,medium,False,4,12_fictionalcine,1.3275517066784872,1.6666666666666667,0.3062,5.905,-1.1124,0.650858
549,FBK,medium,False,4,21_hat-cap,1.9338281633894712,1.8846153846153848,4.9646,30.1615,-0.744,0.730736
550,FBK,medium,False,7,05_i-dodge,2.4017421852279326,2.2777777777777777,5.197,25.541,-1.1696,0.70704
551,FBK,medium,False,7,32_ck-remoa,2.935527901433767,2.8947368421052637,11.118,40.1337,-0.3955,0.777414
552,FBK,medium,False,7,38_seta,2.948798345901624,3.0,11.4745,32.9156,-0.6458,0.748683
553,FBK,medium,False,7,polish,3.437691542413566,3.4457142857142857,19.303,45.2166,-0.1673,0.822679
554,FBK,medium,False,8,dutch,2.5280305857111207,2.4879518072289155,22.7512,50.6343,-0.1365,0.802925
555,FBK,medium,False,13,13_don-bosco-barcelona,1.982448044861583,1.818181818181818,3.996,30.9489,-0.8012,0.747605
