,system,latency,common,annotator,doc,CRi,CR,bleu,chrf,comet,bertscore
309,FBK,high,False,3,07_bucherinsel-west,1.5993995290345864,1.6153846153846154,18.325,42.1269,-0.5649,0.785281
310,FBK,high,False,3,09_il-gabbiano,1.2971151900955054,1.4444444444444444,6.4025,25.6535,-0.6233,0.68436
311,FBK,high,False,3,11_trefa,2.403509160821551,2.263157894736842,14.356,49.5926,-0.2238,0.81338
312,FBK,high,False,3,22_new-design-world,1.807796556710074,2.0,18.6144,40.0341,-0.6229,0.758879
313,FBK,high,False,3,27_f-e-international-tour,1.8899505170800848,2.0,12.6761,45.7397,0.014,0.81658
314,FBK,high,False,3,32_ck-remoa,1.9060446391061676,2.1,14.4284,40.6539,-0.4169,0.781639
315,FBK,high,False,7,18_tf-magic-world,2.8946913933503424,3.088235294117647,19.4525,47.2462,-0.2354,0.780725
316,FBK,high,False,7,22_new-design-world,2.8707506744754765,2.863636363636364,18.6144,40.0341,-0.6229,0.758879
317,FBK,high,False,7,23_pillowdream,1.6603726922473825,1.8235294117647056,6.8974,22.4346,-1.0469,0.727684
318,FBK,high,False,7,25_folkstyle,3.085818074384747,3.0869565217391304,25.2269,52.7773,-0.0255,0.822294
319,FBK,high,False,7,34_kol_action_accessoires,2.810002265561606,2.933333333333333,13.3078,33.9043,-0.6897,0.756406
320,FBK,high,False,8,13_don-bosco-barcelona,1.184818150987019,1.2,6.806,34.1117,-0.6934,0.760755
321,FBK,high,False,8,16_develop-most,2.402116500831473,2.35,16.005,41.1921,-0.3936,0.770968
322,FBK,high,False,8,35_f-e-time-travel-agency,2.336140242936375,2.1578947368421053,13.105,39.4131,-0.623,0.754915
323,FBK,high,False,8,36_step-house,2.329165797011535,2.357142857142857,26.6175,52.8716,-0.0815,0.839437
324,FBK,high,False,11,25_folkstyle,2.0,2.0,25.2269,52.7773,-0.0255,0.822294
325,FBK,high,False,11,32_ck-remoa,,2.0,14.4284,40.6539,-0.4169,0.781639
326,FBK,high,False,11,34_kol_action_accessoires,,2.0,13.3078,33.9043,-0.6897,0.756406
327,FBK,high,False,13,spanish,2.7219392523364485,2.7357142857142858,17.547,45.5677,-0.4651,0.792957
328,FBK,high,False,16,12_fictionalcine,1.0,1.2727272727272727,0.3062,5.905,-1.1124,0.650858
329,FBK,high,False,16,23_pillowdream,1.2373811563116226,1.1794871794871795,6.8974,22.4346,-1.0469,0.727684
